Newfoundland and Labrador,Same Day province visits,Vehicle rental,76
Newfoundland and Labrador,Same Day province visits,Vehicle operation (including gas and repairs),72065
Newfoundland and Labrador,Same Day province visits,Local transportation,765
Newfoundland and Labrador,Same Day province visits,"Transportation fares (plane, bus, et cetera)",1890
Newfoundland and Labrador,Same Day province visits,"Food and beverage, in restaurants and bars",41062
Newfoundland and Labrador,Same Day province visits,"Food and beverage, in stores during trip",30183
Newfoundland and Labrador,Same Day province visits,Recreation,2722
Newfoundland and Labrador,Same Day province visits,Entertainment,4575
Newfoundland and Labrador,Same Day province visits,Clothing,37080
Newfoundland and Labrador,Same Day province visits,Other expenditures,28495
Newfoundland and Labrador,Overnight province visits,Vehicle rental,5469
Newfoundland and Labrador,Overnight province visits,Vehicle operation (including gas and repairs),83565
Newfoundland and Labrador,Overnight province visits,Local transportation,4470
Newfoundland and Labrador,Overnight province visits,"Transportation fares (plane, bus, et cetera)",98637
Newfoundland and Labrador,Overnight province visits,"Food and beverage, in restaurants and bars",79745
Newfoundland and Labrador,Overnight province visits,"Food and beverage, in stores during trip",45485
Newfoundland and Labrador,Overnight province visits,Recreation,6977
Newfoundland and Labrador,Overnight province visits,Entertainment,7971
Newfoundland and Labrador,Overnight province visits,Clothing,34553
Newfoundland and Labrador,Overnight province visits,Other expenditures,6126
Prince Edward Island,Same Day province visits,Vehicle rental,822
Prince Edward Island,Same Day province visits,Vehicle operation (including gas and repairs),16239
Prince Edward Island,Same Day province visits,Local transportation,0
Prince Edward Island,Same Day province visits,"Transportation fares (plane, bus, et cetera)",1406
Prince Edward Island,Same Day province visits,"Food and beverage, in restaurants and bars",16826
Prince Edward Island,Same Day province visits,"Food and beverage, in stores during trip",6952
Prince Edward Island,Same Day province visits,Recreation,2982
Prince Edward Island,Same Day province visits,Entertainment,2694
Prince Edward Island,Same Day province visits,Clothing,9631
Prince Edward Island,Same Day province visits,Other expenditures,4408
Prince Edward Island,Overnight province visits,Vehicle rental,12418
Prince Edward Island,Overnight province visits,Vehicle operation (including gas and repairs),36496
Prince Edward Island,Overnight province visits,Local transportation,1336
Prince Edward Island,Overnight province visits,"Transportation fares (plane, bus, et cetera)",35170
Prince Edward Island,Overnight province visits,"Food and beverage, in restaurants and bars",40087
Prince Edward Island,Overnight province visits,"Food and beverage, in stores during trip",21705
Prince Edward Island,Overnight province visits,Recreation,11112
Prince Edward Island,Overnight province visits,Entertainment,10101
Prince Edward Island,Overnight province visits,Clothing,10305
Prince Edward Island,Overnight province visits,Other expenditures,3157
Nova Scotia,Same Day province visits,Vehicle rental,663
Nova Scotia,Same Day province visits,Vehicle operation (including gas and repairs),142098
Nova Scotia,Same Day province visits,Local transportation,726
Nova Scotia,Same Day province visits,"Transportation fares (plane, bus, et cetera)",1730
Nova Scotia,Same Day province visits,"Food and beverage, in restaurants and bars",110025
Nova Scotia,Same Day province visits,"Food and beverage, in stores during trip",49065
Nova Scotia,Same Day province visits,Recreation,10231
Nova Scotia,Same Day province visits,Entertainment,14070
Nova Scotia,Same Day province visits,Clothing,62404
Nova Scotia,Same Day province visits,Other expenditures,23733
Nova Scotia,Overnight province visits,Vehicle rental,42504
Nova Scotia,Overnight province visits,Vehicle operation (including gas and repairs),148187
Nova Scotia,Overnight province visits,Local transportation,13000
Nova Scotia,Overnight province visits,"Transportation fares (plane, bus, et cetera)",213515
Nova Scotia,Overnight province visits,"Food and beverage, in restaurants and bars",179030
Nova Scotia,Overnight province visits,"Food and beverage, in stores during trip",70179
Nova Scotia,Overnight province visits,Recreation,13329
Nova Scotia,Overnight province visits,Entertainment,18219
Nova Scotia,Overnight province visits,Clothing,70884
Nova Scotia,Overnight province visits,Other expenditures,23332
New Brunswick,Same Day province visits,Vehicle rental,322
New Brunswick,Same Day province visits,Vehicle operation (including gas and repairs),130871
New Brunswick,Same Day province visits,Local transportation,189
New Brunswick,Same Day province visits,"Transportation fares (plane, bus, et cetera)",2294
New Brunswick,Same Day province visits,"Food and beverage, in restaurants and bars",91078
New Brunswick,Same Day province visits,"Food and beverage, in stores during trip",44539
New Brunswick,Same Day province visits,Recreation,10949
New Brunswick,Same Day province visits,Entertainment,22908
New Brunswick,Same Day province visits,Clothing,67482
New Brunswick,Same Day province visits,Other expenditures,26138
New Brunswick,Overnight province visits,Vehicle rental,12380
New Brunswick,Overnight province visits,Vehicle operation (including gas and repairs),144248
New Brunswick,Overnight province visits,Local transportation,3895
New Brunswick,Overnight province visits,"Transportation fares (plane, bus, et cetera)",68812
New Brunswick,Overnight province visits,"Food and beverage, in restaurants and bars",124239
New Brunswick,Overnight province visits,"Food and beverage, in stores during trip",58917
New Brunswick,Overnight province visits,Recreation,16726
New Brunswick,Overnight province visits,Entertainment,26582
New Brunswick,Overnight province visits,Clothing,48478
New Brunswick,Overnight province visits,Other expenditures,11396
Quebec,Same Day province visits,Vehicle rental,63053
Quebec,Same Day province visits,Vehicle operation (including gas and repairs),1420390
Quebec,Same Day province visits,Local transportation,33883
Quebec,Same Day province visits,"Transportation fares (plane, bus, et cetera)",55675
Quebec,Same Day province visits,"Food and beverage, in restaurants and bars",1017308
Quebec,Same Day province visits,"Food and beverage, in stores during trip",332059
Quebec,Same Day province visits,Recreation,197582
Quebec,Same Day province visits,Entertainment,198429
Quebec,Same Day province visits,Clothing,745411
Quebec,Same Day province visits,Other expenditures,222721
Quebec,Overnight province visits,Vehicle rental,59356
Quebec,Overnight province visits,Vehicle operation (including gas and repairs),1273538
Quebec,Overnight province visits,Local transportation,67933
Quebec,Overnight province visits,"Transportation fares (plane, bus, et cetera)",475933
Quebec,Overnight province visits,"Food and beverage, in restaurants and bars",1173144
Quebec,Overnight province visits,"Food and beverage, in stores during trip",609792
Quebec,Overnight province visits,Recreation,196731
Quebec,Overnight province visits,Entertainment,254121
Quebec,Overnight province visits,Clothing,364120
Quebec,Overnight province visits,Other expenditures,94736
Ontario,Same Day province visits,Vehicle rental,25233
Ontario,Same Day province visits,Vehicle operation (including gas and repairs),2141044
Ontario,Same Day province visits,Local transportation,80390
Ontario,Same Day province visits,"Transportation fares (plane, bus, et cetera)",306197
Ontario,Same Day province visits,"Food and beverage, in restaurants and bars",2007658
Ontario,Same Day province visits,"Food and beverage, in stores during trip",645387
Ontario,Same Day province visits,Recreation,284365
Ontario,Same Day province visits,Entertainment,484191
Ontario,Same Day province visits,Clothing,862378
Ontario,Same Day province visits,Other expenditures,301287
Ontario,Overnight province visits,Vehicle rental,167251
Ontario,Overnight province visits,Vehicle operation (including gas and repairs),1755713
Ontario,Overnight province visits,Local transportation,125717
Ontario,Overnight province visits,"Transportation fares (plane, bus, et cetera)",1326852
Ontario,Overnight province visits,"Food and beverage, in restaurants and bars",1943733
Ontario,Overnight province visits,"Food and beverage, in stores during trip",914596
Ontario,Overnight province visits,Recreation,271287
Ontario,Overnight province visits,Entertainment,356093
Ontario,Overnight province visits,Clothing,519315
Ontario,Overnight province visits,Other expenditures,273428
Manitoba,Same Day province visits,Vehicle rental,786
Manitoba,Same Day province visits,Vehicle operation (including gas and repairs),186983
Manitoba,Same Day province visits,Local transportation,1692
Manitoba,Same Day province visits,"Transportation fares (plane, bus, et cetera)",10366
Manitoba,Same Day province visits,"Food and beverage, in restaurants and bars",115024
Manitoba,Same Day province visits,"Food and beverage, in stores during trip",59541
Manitoba,Same Day province visits,Recreation,10067
Manitoba,Same Day province visits,Entertainment,11565
Manitoba,Same Day province visits,Clothing,70237
Manitoba,Same Day province visits,Other expenditures,37255
Manitoba,Overnight province visits,Vehicle rental,13471
Manitoba,Overnight province visits,Vehicle operation (including gas and repairs),170705
Manitoba,Overnight province visits,Local transportation,4310
Manitoba,Overnight province visits,"Transportation fares (plane, bus, et cetera)",140913
Manitoba,Overnight province visits,"Food and beverage, in restaurants and bars",140639
Manitoba,Overnight province visits,"Food and beverage, in stores during trip",67789
Manitoba,Overnight province visits,Recreation,16100
Manitoba,Overnight province visits,Entertainment,17981
Manitoba,Overnight province visits,Clothing,44153
Manitoba,Overnight province visits,Other expenditures,17512
Saskatchewan,Same Day province visits,Vehicle rental,5490
